15,15
G,0,0
R,0,1
G,0,2
B,0,3
B,0,4
G,0,6
B,0,7
G,0,8
R,0,12
R,1,0
G,1,1
B,1,2
B,1,3
R,1,4
R,1,5
G,1,7
B,1,8
G,1,13
R,1,14
R,2,1
G,2,5
B,2,6
B,2,7
G,2,8
B,2,9
B,2,10
B,2,12
B,2,13
R,2,14
R,3,1
B,3,3
B,3,4
G,3,6
B,3,10
R,3,11
R,3,13
R,4,2
R,4,3
R,4,7
G,4,8
R,4,10
B,4,12
G,4,13
B,4,14
G,5,0
G,5,2
B,5,3
B,5,4
R,5,5
G,5,8
B,5,9
G,5,10
R,5,11
G,5,13
G,5,14
B,6,1
G,6,2
B,6,3
R,6,6
R,6,7
B,6,8
B,6,9
B,6,10
G,6,12
R,6,13
B,7,0
B,7,5
G,7,7
R,7,8
B,7,9
R,7,11
R,7,14
R,8,1
B,8,2
G,8,4
B,8,5
G,8,10
G,8,11
G,8,12
B,8,13
G,8,14
B,9,2
B,9,3
B,9,7
G,9,10
B,9,13
G,10,4
B,10,5
B,10,8
R,10,9
G,10,11
B,10,12
B,10,13
B,11,0
R,11,5
R,11,6
R,11,7
G,11,8
R,11,9
R,11,10
R,11,12
R,11,13
G,12,0
G,12,1
G,12,2
R,12,4
B,12,6
R,12,7
G,12,8
B,12,9
B,12,11
G,12,13
R,12,14
G,13,0
G,13,1
R,13,5
G,13,7
R,13,9
B,13,13
B,13,14
R,14,0
R,14,1
B,14,3
G,14,4
B,14,6
B,14,7
G,14,9
B,14,11
G,14,13
B,14,14
